Van,Player_0,Player_1,Player_2
1,10030,9990,9980
2,10010,9990,10000
3,9470,11070,9460
4,9140,11730,9130
5,9160,11730,9110
6,9030,11710,9260
7,19,11700,18281
8,0,11680,18320
9,0,11660,18340
10,0,11650,18350
11,0,11630,18370
12,0,11650,18350
13,0,11580,18420
14,0,11580,18420
15,0,11800,18200
16,0,11790,18210
17,0,11790,18210
18,0,12160,17840
19,0,12150,17850
20,0,12320,17680
21,0,12200,17800
22,0,24666,5334
23,0,24666,5334
24,0,24646,5354
25,0,24636,5364
26,0,24636,5364
27,0,24656,5344
28,0,24586,5414
29,0,24566,5434
30,0,24586,5414
31,0,24576,5424
32,0,24506,5494
33,0,24526,5474
34,0,24156,5844
35,0,24226,5774
36,0,24106,5894
37,0,23986,6014
38,0,23986,6014
39,0,23816,6184
40,0,23806,6194
41,0,23806,6194
42,0,23786,6214
43,0,23776,6224
44,0,23776,6224
45,0,23756,6244
46,0,23746,6254
47,0,23746,6254
48,0,19299,10701
49,0,19289,10711
50,0,19289,10711
51,0,19459,10541
52,0,19729,10271
53,0,19729,10271
54,0,27039,2961
55,0,27409,2591
56,0,27339,2661
57,0,27319,2681
58,0,27309,2691
59,0,27289,2711
60,0,27609,2391
61,0,27629,2371
62,0,27629,2371
63,0,25322,4678
64,0,25642,4358
65,0,25642,4358
66,0,25622,4378
67,0,25612,4388
68,0,25612,4388
69,0,25592,4408
70,0,25862,4138
71,0,25862,4138
72,0,25932,4068
73,0,25952,4048
74,0,26122,3878
75,0,26142,3858
76,0,26122,3878
77,0,26052,3948
78,0,26172,3828
79,0,26162,3838
80,0,26162,3838
81,0,26282,3718
82,0,26272,3728
83,0,26272,3728
84,0,26442,3558
85,0,26462,3538
86,0,26392,3608
87,0,26372,3628
88,0,26362,3638
89,0,26242,3758
90,0,26262,3738
91,0,26252,3748
92,0,26252,3748
93,0,26232,3768
94,0,26222,3778
95,0,26222,3778
96,0,26392,3608
97,0,26322,3678
98,0,26322,3678
99,0,26342,3658
100,0,26272,3728
101,0,26272,3728
102,0,26292,3708
103,0,26282,3718
104,0,26602,3398
105,0,26582,3418
106,0,26602,3398
107,0,26582,3418
108,0,24184,5816
109,0,24304,5696
110,0,24234,5766
111,0,24214,5786
112,0,24204,5796
113,0,24204,5796
114,0,24224,5776
115,0,24394,5606
